Subject,Title,Instructor(s),Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Finance & Accounting,Financial Accounting: The Complete Introductory Crash Course,"David Burrell, BComm",Course,Not specified,10.0 hours,Accounting & Bookkeeping Financial Accounting,4.5,789,Public Dataset
Personal Development,The Complete Guide: Achieving Success in College and Beyond,"Val Margarit, Ed.D",Course,Not specified,0.5333333333333333 hours,Motivation Personal Success,4.9,12,Public Dataset
Business,Fundamentals of Residential Property Management,Jacqueline Carrington,Course,Not specified,1.5 hours,Real Estate Property Management,4.5,302,Public Dataset
Lifestyle,DIY - Build your own Shipping Container Home  in 2020 course,Philip Viljoen,Course,Not specified,1.5 hours,Home Improvement Container Home,3.2,86,Public Dataset
Lifestyle,Woodworking: Fundamentals of Furniture Making,George Vondriska,Course,Not specified,3.0 hours,Home Improvement Woodworking,4.8,92,Public Dataset
Office Productivity,SAP Basis Essential Training,George Boyle,Course,Not specified,3.5 hours,SAP SAP Basis,4.4,773,Public Dataset
Finance & Accounting,VAT in the UAE Complete course: Principles and Application,Tanweer Sheikh,Course,Not specified,5.0 hours,Taxes Value Added Tax (VAT),3.5,55,Public Dataset
Finance & Accounting,"Tesla Company Analysis: Strategy, Marketing, Financials",365 Careers,Course,Not specified,4.0 hours,Finance Investing,4.4,436,Public Dataset
Development,Beginning Kubernetes: Practical Guide with Hands-on Approach,Dhiman Halder,Course,Not specified,2.5 hours,Software Development Tools Kubernetes,4.9,7,Public Dataset
Office Productivity,Intro to Roam Research: Create Your First Notes,Dan Silvestre,Course,Not specified,1.0 hours,Other Office Productivity Note-taking,4.2,3,Public Dataset
Finance & Accounting,The Visual Learning Basic Accounting Course,Tim Burns,Course,Not specified,1.0 hours,Accounting & Bookkeeping Accounting,5.0,1,Public Dataset
Finance & Accounting,"Value Added Tax - Oman, KSA, UAE & Bahrain",Muhammad Naved,Course,Not specified,2.5 hours,Taxes Value Added Tax (VAT),4.6,10,Public Dataset
Teaching & Academics,Montessori Language  Course (Early Childhood and Elementary),Dina Ahmed,Course,Not specified,3.5 hours,Other Teaching & Academics English Grammar,3.9,179,Public Dataset
Development,Data Science for AI and Machine Learning Using R,Shiv Onkar Deepak Kumar,Course,Not specified,10.5 hours,Data Science Machine Learning,5.0,1,Public Dataset
Finance & Accounting,Stop Struggling To Get By: Apply To Top 25 Grant Programs ,Matthew Lesko,Course,Not specified,1.0 hours,Other Finance & Accounting AP US Government and Politics,4.2,44,Public Dataset
Finance & Accounting,"CIS(Center for internet Security) Controls for IT,OT & IOT.",Abha Sood,Course,Not specified,3.0 hours,Compliance Unknown,0.0,0,Public Dataset
Personal Development,The Complete Stress & Anxiety Breakthrough Programme,Kain Ramsay,Course,Not specified,7.0 hours,Stress Management Anxiety Management,4.2,522,Public Dataset
Health & Fitness,Certified Bharatanatyam Indian Dance as an Exercise Routine,Sarita Wariyer,Course,Not specified,1.0 hours,Dance Indian Dance,0.0,0,Public Dataset
Lifestyle,Magick 111: Working With Spirits,"Dr. Nicholas Guillette, Msc.D.",Course,Not specified,1.5 hours,Esoteric Practices Witchcraft,0.0,0,Public Dataset
Health & Fitness,Vocal Exercises and Mindfulness for the Menopause,Pauline Midwinter,Course,Not specified,2.0 hours,Other Health & Fitness Mindfulness,5.0,1,Public Dataset
Photography & Video,How to Automatically Backup Your Photos Online for Beginners,Andrew Morgan,Course,Not specified,1.0 hours,Photography Tools Backup Recovery,5.0,2,Public Dataset
Finance & Accounting,Ethereum & Litecoin CryptoCurrency Course (2 Course Bundle),Saad T. Hameed (STH),Course,Not specified,6.5 hours,Cryptocurrency & Blockchain Ethereum,4.8,32,Public Dataset
Health & Fitness,Table Tennis Tips and Techniques,Sport Videos,Course,Not specified,0.6 hours,Sports Table Tennis,5.0,1,Public Dataset
Marketing,Build a VIRAL Referral FB ChatBot + Free ManyChat TEMPLATE,Charlie Walker,Course,Not specified,1.0 hours,Growth Hacking ManyChat,3.4,14,Public Dataset
Design,Learn 2D Game Environments Graphic Design For Beginners,Saif Eddine Touzi,Course,Not specified,1.0 hours,Game Design 2D Game Development,4.8,2,Public Dataset
Health & Fitness,Yoga @ Home with Meta - Immersion for Intermediate Students,Meta Hirschl,Course,Not specified,1.0 hours,Yoga Unknown,5.0,1,Public Dataset
Development,No-Code Machine Learning: Practical Guide to Modern ML Tools,"Dr. Ryan Ahmed, Ph.D., MBA",Course,Not specified,6.5 hours,No-Code Development Machine Learning,4.3,64,Public Dataset
Marketing,How To Use Facebook Ads To Get People To Call You,Brandon Lewin,Course,Not specified,1.0 hours,Digital Marketing Facebook Ads,5.0,2,Public Dataset
Lifestyle,3 Techniques to Combine Watercolor and Gouache in your art,Hannah Katarski,Course,Not specified,1.0 hours,Arts & Crafts Watercolor Painting,5.0,1,Public Dataset
Music,Piano Improvisation,Dias Karimov,Course,Not specified,1.0 hours,Music Techniques Music Improvisation,0.0,0,Public Dataset
Teaching & Academics,IGBO MADE EASY,Orji Onyebuchi Innocent,Course,Not specified,1.5 hours,Language Learning Learning a Foreign Language,0.0,0,Public Dataset
Music,Learn to play “MARGARITAVILLE” on the Steel Drum!,Mark Piantanida,Course,Not specified,0.4833333333333333 hours,Instruments Drums,5.0,26,Public Dataset
Development,JavaScript Data Structure and Algorithm Crash Course,OnlyKiosk Tech,Course,Not specified,2.0 hours,Web Development Algorithms,5.0,2,Public Dataset
Information Technology,CompTIA Security+ (SY0-701) Bootcamp,"Jason Dion, Dion Training Solutions",Course,All Levels,31 hours,"CompTIA Security+, Cybersecurity Fundamentals, Network Security",4.6,119543,Curated
IT & Software,HARD CISSP practice questions #2: All CISSP domains - 125Q,"Thor Pedersen | 225,000+ Enrollments Worldwide",Course,Not specified,0.5666666666666667 hours,IT Certifications CISSP - Certified Information Systems Security Professional,4.4,6,Public Dataset
Personal Development,The Gold Mettle Plan,Rhadi Ferguson,Course,Not specified,2.5 hours,Motivation Mindset,5.0,1,Public Dataset
Personal Development,Mastery of  Love and  Empowerment in ten steps.,Per Henrik Gullfoss,Course,Not specified,2.5 hours,Self Esteem & Confidence Self-Esteem,5.0,4,Public Dataset
IT & Software,Numpy Library for data science (All in one),Shambhavi Gupta,Course,Not specified,3.5 hours,IT Certifications NumPy,4.6,8,Public Dataset
Computer Science,100 Days of Code: The Complete Python Pro Bootcamp,Dr. Angela Yu,Course,Beginner,60 hours,"Python Programming, Web Scraping, Automation, Flask, Data Science Basics",4.7,410000,Curated
Personal Development,Practical Solutions to Human Life's Problems,Compliance Security and Risk Management,Course,Not specified,1.0 hours,Motivation Life Purpose,0.0,0,Public Dataset
Teaching & Academics,Pre-Algebra : Basic Operation on Integers,Keshav Pandey,Course,Not specified,0.6 hours,Math Unknown,5.0,4,Public Dataset
IT & Software,YAML is Easy: Learn it Fast,Pedro Planas,Course,Not specified,0.7166666666666667 hours,Operating Systems & Servers YAML,0.0,0,Public Dataset
Health & Fitness,Aikido ABC - Vol 5. Aiki Jo,Bjorn Säw,Course,Not specified,0.7 hours,Self Defense Martial Arts,5.0,6,Public Dataset
Lifestyle,Reiki and Colour Therapy,Lisa Powers,Course,Not specified,2.5 hours,Esoteric Practices Reiki,4.5,1335,Public Dataset
Lifestyle,Build your perfect skincare routine + understanding acne,Hannan Nassor,Course,Not specified,1.0 hours,Beauty & Makeup Skincare,5.0,3,Public Dataset
Marketing,Facebook ads : The Ultimate Guide for coaches & consultants,Rihab Seb,Course,Not specified,4.0 hours,Advertising Facebook Ads,4.8,22,Public Dataset
IT & Software,CompTIA Network+ (N10-007) -Official Exam,International IT Exam College,Course,Not specified,0.0 hours,Network & Security CompTIA Network+,5.0,1,Public Dataset
Business,Introduction to OMB's A-11 and The Capital Programming Guide,Zen Federal,Course,Not specified,1.5 hours,Project Management Compliance (IT),5.0,2,Public Dataset
Personal Development,Memory Course: Super-Memory 20-Day Mnemonics Crash Course,Stefan Calvert,Course,Not specified,2.5 hours,Memory & Study Skills Memory,0.0,0,Public Dataset
Teaching & Academics,Nonlinear dynamics of cable nets,Dr. Isabella Vasilopoulou,Course,Not specified,1.5 hours,Engineering Dynamics,5.0,1,Public Dataset
Business,7 Simple Fix & Flip Secrets to Explode Your Profits!,Matt Robinson,Course,Not specified,1.0 hours,Real Estate Real Estate Flipping,0.0,0,Public Dataset
Music,Crash-Course|Start to Finish - Budget Home Studio Production,Daniel Georgiev,Course,Not specified,2.5 hours,Music Production Unknown,5.0,1,Public Dataset
Design,Adobe Illustrator CC for beginners create custom brushes,Jagdish-Kumar Suthar,Course,Not specified,4.5 hours,Graphic Design & Illustration Adobe Illustrator,5.0,3,Public Dataset
Design,Paint on Wall & Varnish on Wood in Interior Design,ANJALI NANDKUMAR,Course,Not specified,0.55 hours,Interior Design Woodworking,4.5,2,Public Dataset
Teaching & Academics,15 Errors in Scientific Writing & How to Fix Them,"Emma Nichols, PhD",Course,Not specified,1.5 hours,Other Teaching & Academics Academic Writing,4.4,294,Public Dataset
Photography & Video,Final Cut Pro X for Beginners,Nick Carter,Course,Not specified,1.0 hours,Video Design Video Editing,5.0,1,Public Dataset
Marketing,Marketing 101 for Groomers,Sarajenie Smith,Course,Not specified,1.0 hours,Marketing Fundamentals Marketing Plan,4.8,8,Public Dataset
Photography & Video,Learn Affinity Photo from Scratch,Prashant Gupta,Course,Not specified,7.5 hours,Photography Tools Affinity Photo,4.5,6,Public Dataset
Music,Tap Dance - Grooves - Intermediate,Simeon Weedall,Course,Not specified,0.6166666666666667 hours,Other Music Dance,4.9,5,Public Dataset
Business,Situational Judgment Practice test for SHRM CP & SCP,Sreelekha S Kumar,Course,Not specified,0.0 hours,Human Resources SHRM Senior Certified Professional (SHRM-SCP),0.0,0,Public Dataset
Lifestyle,How To Release Fear And Other Blocks To Your Success,Liv Scrivanich,Course,Not specified,0.6 hours,Esoteric Practices Hypnotherapy,5.0,3,Public Dataset
Design,Design Thinking Masterclass - A Complete Guide for You,Wizdom Learning,Course,Not specified,1.5 hours,Design Thinking Unknown,3.8,12,Public Dataset
Office Productivity,SAP Fiori System Administration -C_FIORADM_21- Certification,Rohit Redhu,Course,Not specified,0.0 hours,SAP SAP Certified Technology Associate - SAP Fiori System Administration,4.8,4,Public Dataset
Lifestyle,Growing Tomato Heaven: Garden grown tomatoes made easy!,Rick Stone,Course,Not specified,1.5 hours,Home Improvement Gardening,4.5,76,Public Dataset
Music,Prepare for Music Theory ABRSM 1 to 5,Michael Luck,Course,Not specified,10.5 hours,Music Fundamentals ABRSM,4.8,505,Public Dataset
Marketing,Create a Customer Journey Map with Personas for Beginners,Customer Experience 24/7,Course,Not specified,1.5 hours,Other Marketing Customer Journey Mapping,4.0,53,Public Dataset
Information Technology,AWS Certified Solutions Architect Associate - AWS Certified Developer Associate Path,"Neal Davis, Digital Cloud Training",Course,Intermediate,Not specified,"AWS, Cloud Architecture, AWS Developer Associate",4.6,22904,Curated
Music,Fingerstyle Guitar For Beginners | STEP BY STEP Course,Fingerstyle Club,Course,Not specified,6.0 hours,Music Techniques Fingerstyle Guitar,4.8,458,Public Dataset
Finance & Accounting,Financial Modeling Bootcamp: Forecast all 3 Financial Stmts,Nate @ Wisdify,Course,Not specified,3.0 hours,Financial Modeling & Analysis Financial Modeling,4.4,4,Public Dataset
Design,BLENDER: How to create realistic BedRoom with Cycle & Eevee,Mrawan Hussain,Course,Not specified,16.0 hours,Interior Design Unknown,4.8,11,Public Dataset
Lifestyle,Cook Algerian square pizza at home,Khelifi Abdou,Course,Not specified,0.5166666666666667 hours,Food & Beverage Pizza,4.2,2,Public Dataset
Business,Negotiating Salary/Compensation for Marketing Professionals,Vasco Patrício,Course,Not specified,2.0 hours,Communication Salary Negotiation,0.0,0,Public Dataset
Marketing,Business Branding: Build a Memorable Brand for social IMPACT,Koolt Academy,Course,Not specified,1.0 hours,Branding Business Branding,4.7,20,Public Dataset
Office Productivity,Oracle RMAN - Configure advanced RMAN backups and scripts,Arun Kumar,Course,Not specified,3.5 hours,Oracle Oracle RMAN,3.7,215,Public Dataset
Health & Fitness,Mr. Miah Medical Massage Therapy Diploma Course Certificate,Manik Miah,Course,Not specified,2.0 hours,Other Health & Fitness Massage,4.9,5,Public Dataset
Photography & Video,The Art of Black and White Photography,David J. Nightingale,Course,Not specified,6.0 hours,Other Photography & Video Black and White Photography,4.5,949,Public Dataset
Development,Kotlin - Project Based Learning,Sheshadhree Shankar,Course,Not specified,9.5 hours,Mobile Development Kotlin,5.0,1,Public Dataset
Health & Fitness,"Not Milk, NUT MILKS!",Candia Lea Cole,Course,Not specified,3.0 hours,Nutrition Vegan Cooking,5.0,5,Public Dataset
Design,Analysis of Everyday Things.,Brian Dickinson,Course,Not specified,0.0 hours,Design Thinking Unknown,3.9,446,Public Dataset
Teaching & Academics,Spy Communication – The History of Encryption,Courses ABC,Course,Not specified,1.0 hours,Science Cryptography,0.0,0,Public Dataset
Design,How to Color Amazing Hair,Lisa Mitrokhin,Course,Not specified,4.0 hours,Graphic Design & Illustration Hair Styling,5.0,11,Public Dataset
IT & Software,CompTIA Network+  (N10-007) -Practice Exam,Learning IT,Course,Not specified,0.0 hours,Network & Security CompTIA Network+,5.0,1,Public Dataset
Personal Development,SuperThinker | A Way to Better Thinking,Rajiv Narang,Course,Not specified,3.0 hours,Creativity Unknown,4.6,195,Public Dataset
Photography & Video,DSLR Video Production - Start Shooting Better Video Today,Phil Ebiner,Course,Not specified,3.5 hours,Video Design DSLR,4.7,1351,Public Dataset
Development,Gino's Lambda Expressions course for Java Certification Exam,Coding With Gino,Course,Not specified,2.0 hours,Software Engineering Lambda Expressions,4.2,27,Public Dataset
Finance & Accounting,A Practical Guide to Wealth Creation,Lisa Newton,Course,Not specified,1.0 hours,Economics Personal Finance,4.9,9,Public Dataset
Business,Business Strategy in Practice,Evan Kimbrell,Course,All Levels,Not specified,"Business Strategy, Organizational Strategy, Strategic Planning",4.7,3035,Curated
Photography & Video,Art of Photography: Photography composition made simple,Sergey Kasimov,Course,Not specified,2.5 hours,Photography Photography Composition,4.6,102,Public Dataset
Teaching & Academics,The Complete Guide To Selling Courses On Udemy - Unofficial,Daniel Boehm,Course,Not specified,3.0 hours,Online Education Online Course Creation,4.6,172,Public Dataset
Office Productivity,The Ultimate Microsoft Office 2016 Training Bundle,Simon Sez IT,Course,Not specified,72.0 hours,Microsoft Microsoft Office,4.5,3749,Public Dataset
Marketing,The Complete Digital Marketing Guide For Your Business,Catherine Quiambao,Course,Not specified,2.0 hours,Digital Marketing Unknown,5.0,1,Public Dataset
Design,Making Metal Jewelry,Courses ABC,Course,Not specified,3.5 hours,Fashion Design Jewelry Making,0.0,0,Public Dataset
Information Technology,AWS Certified Solutions Architect - Associate SAA-C03,"Stephane Maarek, Abhishek Singh",Course,All Levels,Not specified,"AWS, Cloud Computing, Solutions Architecture, EC2, S3, VPC, IAM",4.7,292682,Curated
Personal Development,Managing Your Reactions in Difficult Situations,Sorin Dumitrascu,Course,Not specified,0.5666666666666667 hours,Stress Management Unknown,4.3,135,Public Dataset
Development,Intermediate SwiftUI Development Course 2021,Aaditya Singh,Course,Not specified,2.0 hours,Mobile Development iOS Development,0.0,0,Public Dataset
Finance & Accounting,Financial Modeling for Startups & Small Businesses,Evan Kimbrell,Course,Not specified,11.5 hours,Financial Modeling & Analysis Financial Modeling,4.5,2874,Public Dataset
Business,"Microsoft Word: Master the Most Popular Word Processing Tool (2010-2019, Microsoft 365/2023)","Kyle Pew, Office Newb",Course,All Levels,7 hours,"Microsoft Word, Document Formatting, Word Processing",4.7,32503,Curated
Health & Fitness,Brahma Shakti Vinyasa Yoga,Mark Flint,Course,Not specified,6.5 hours,Yoga Ashtanga Yoga,5.0,2,Public Dataset
Marketing,Marketing Psychology: How To Become A Master Of Influence,Vladimir Raykov,Course,Not specified,10.0 hours,Digital Marketing Influence Skills,4.7,1524,Public Dataset
Office Productivity,iPhone Basics - Missing Instructions Manual for Seniors,Joshua Curtis,Course,Not specified,2.5 hours,Apple Apple Products Basics,4.3,25,Public Dataset
Marketing,How to get Sponsored on YouTube in 7 Days or Less,PrettyKeli YouTube,Course,Not specified,0.6666666666666666 hours,Product Marketing Sponsorship,4.9,8,Public Dataset
Business,Professional Public Speaking Skills,John Beede,Course,Not specified,6.0 hours,Communication Presentation Skills,5.0,5,Public Dataset
Music,Bass  Clef / Sheet Music Reading Exercises,Umut Yenilmez,Course,Not specified,2.5 hours,Music Fundamentals Reading Music,5.0,1,Public Dataset
Personal Development,How to Help Family Members or Friends with Mental Illness,Emma McAdam,Course,Not specified,5.0 hours,Parenting & Relationships Counseling,4.5,268,Public Dataset
Personal Development,What’s A Chakra?,Erin Nicole,Course,Not specified,1.0 hours,Self Esteem & Confidence Chakra,5.0,12,Public Dataset
Health & Fitness,Ketogenic diet | Lose Weight & Reboot Your Metabolism! Keto,OMG - Mastermind,Course,Not specified,1.0 hours,Dieting Ketogenic Diet,3.8,291,Public Dataset
Music,Beginner Vocal Warm Up Course,Dylan Ball,Course,Not specified,1.5 hours,Vocal Singing,5.0,3,Public Dataset
Music,Complete Singing Course,Davina Shefet,Course,Not specified,4.5 hours,Vocal Singing,0.0,0,Public Dataset
IT & Software,"Power Electronics(DCDC Converters,Matlab,Simulink) ELECTRICA",Muhammad Khalil Yousaf,Course,Not specified,1.0 hours,Operating Systems & Servers Power Electronics,2.8,3,Public Dataset
Health & Fitness,Learn Perfect Sleep to Have A Perfect And Happy Life,Mahmoud Mohamed,Course,Not specified,2.0 hours,General Health Sleep,5.0,2,Public Dataset
Design,Houseplants 101: A Beginners Guide to Indoor Gardening,Tyler Welsh,Course,Not specified,1.0 hours,Interior Design Botany,4.4,134,Public Dataset
Business,Flipping Phones Course: Become independent business owner,Rashad Tarlanov,Course,Not specified,2.5 hours,Entrepreneurship Passive Income,0.0,0,Public Dataset
IT & Software,Python Bootcamp 2021 Build 15 working Applications and Games,Dev Nirwal,Course,Not specified,31.5 hours,Other IT & Software Python,4.3,11028,Public Dataset
Personal Development,Screenwriting Basics #2: A Save the Cat!® Course,Save the Cat®,Course,Not specified,0.7333333333333333 hours,Creativity Screenwriting,0.0,0,Public Dataset
Marketing,"Account Based Marketing: B2B Marketing, Lead Generation 2021","Dekker Fraser, MBA",Course,Not specified,5.0 hours,Marketing Fundamentals Marketing Strategy,4.1,10,Public Dataset
Photography & Video,Pro beauty retouching,Alexandr Vishnev,Course,Not specified,6.5 hours,Other Photography & Video Photoshop Retouching,4.4,162,Public Dataset
Business,Corporate Liability Ins.: Dealing with Fraudulent Claims,Illumeo Learning,Course,Not specified,0.7166666666666667 hours,Business Law Insurance Claims,0.0,0,Public Dataset
Finance & Accounting,Representing Yourself in a Car Accident Whiplash Claim,Robert WIlliam Birch,Course,Not specified,1.0 hours,Other Finance & Accounting Insurance Claims,4.8,8,Public Dataset
Personal Development,How to Connect With Your Spirit Guides,Tanaaz Chubb,Course,Not specified,0.7333333333333333 hours,Religion & Spirituality Spirituality,4.7,482,Public Dataset
Development,MySQL Bootcamp: Go from SQL Beginner to Expert (2021),Jayanta Sarkar,Course,Not specified,3.5 hours,Database Design & Development MySQL,4.4,57,Public Dataset
Marketing,How To Write Headlines Like The Copywriting Masters,Rita Smith,Course,Not specified,2.5 hours,Other Marketing Copywriting,4.6,32,Public Dataset
Development,Mule 4 Indepth,Sivaprasad Valluru,Course,Not specified,13.5 hours,Software Development Tools Mule ESB,4.4,1801,Public Dataset
Development,Predictive Modeling with Python,Exam Turf,Course,Not specified,9.5 hours,Data Science Predictive Modeling,3.8,27,Public Dataset
Business,Coaching Course:Building Effective Sales Funnels & Pipelines,DioPACT .,Course,Not specified,0.55 hours,Business Strategy Sales Skills,5.0,1,Public Dataset
Teaching & Academics,Complete Organic Chemsitry Course-Basic to Advance Level,Muhammad Ali,Course,Not specified,13.5 hours,Science Organic Chemistry,0.0,0,Public Dataset
Personal Development,The Complete Pregnancy Course: What to REALLY Expect,Abudo Health Programs,Course,Not specified,4.5 hours,Parenting & Relationships Pregnancy,5.0,2,Public Dataset
Teaching & Academics,SAP2000: Master Structural Analysis & Design of RCC Building,Shadab Khan,Course,Not specified,6.0 hours,Engineering SAP2000,5.0,6,Public Dataset
Design,Whimsical Birds in Acrylic Paint,Jennifer Keller,Course,Not specified,0.7166666666666667 hours,Other Design Acrylic Painting,0.0,0,Public Dataset
Health & Fitness,BJJ INSTRUCTION 『ICHIBANSHIBORI』 YUJI OKAMOTO,Yuji Okamoto,Course,Not specified,1.0 hours,Self Defense Brazilian Jiu-Jitsu,5.0,1,Public Dataset
Music,Introduction To Speed Picking: Guitar Lessons Course,Erich Andreas,Course,Not specified,1.5 hours,Music Techniques Guitar,4.5,22,Public Dataset
Music,Logic Live Loops | Logic Pro X - 10.5 Update,Ben Rowlands,Course,Not specified,1.5 hours,Music Software Logic Pro X,4.8,14,Public Dataset
Music,"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3",Jason Allen,Course,Not specified,8.5 hours,Music Software Ableton Live,4.7,3348,Public Dataset
Finance & Accounting,Learn Options Trading - Become a Professional Options Trader,Chris Capre,Course,Not specified,1.0 hours,Investing & Trading Options Trading,4.3,25,Public Dataset
Finance & Accounting,MBT Forex Trading Starter Kit,Ronnie Marubozu,Course,Not specified,5.5 hours,Financial Modeling & Analysis Forex,0.0,0,Public Dataset
Marketing,Microsoft Azure,BangaruNaidu Raghumanda,Course,Not specified,0.0 hours,Advertising Microsoft Azure,0.0,0,Public Dataset
Marketing,Introduction to Programmatic Advertising - Digital Marketing,Ben Silverstein,Course,Not specified,1.0 hours,Digital Marketing Programmatic Advertising,4.3,1213,Public Dataset
Photography & Video,Adobe Lightroom CC: The Ultimate Guide For Beginners,Alexandru Cojocaru,Course,Not specified,3.0 hours,Photography Adobe Lightroom,4.2,105,Public Dataset
Teaching & Academics,(  14 hrs) Economic principles - learn by watching football!,Chris Bankes Sivewright,Course,Not specified,14.5 hours,Social Science Economics,4.8,47,Public Dataset
Health & Fitness,30 Minute Beach Body Academy,Umesh Damania,Course,Not specified,2.5 hours,Fitness Weight Loss,5.0,3,Public Dataset
Business,FMLA & State Modifications: Parental Rights after Childbirth,Illumeo Learning,Course,Not specified,1.0 hours,Human Resources Employment Law,5.0,1,Public Dataset
IT & Software,Linux Shell Scripting: A Project-Based Approach to Learning,Jason Cannon,Course,Not specified,11.5 hours,Operating Systems & Servers Shell Scripting,4.6,7630,Public Dataset
Business,Want to be a Public Speaker? Everything you need to know,Brett Ullman,Course,Not specified,3.0 hours,Communication Public Speaking,5.0,3,Public Dataset
Office Productivity,Telecommuting Skills with G Suite & Google Drive,Victoria Heric,Course,Not specified,4.0 hours,Google Google Drive,4.9,6,Public Dataset
Office Productivity,SharePoint Online Beginners Course,Simon Sez IT,Course,Not specified,5.0 hours,Microsoft SharePoint,0.0,0,Public Dataset
Marketing,A Beginners Guide to Growing your Youtube Channel,Amit Patel,Course,Not specified,1.0 hours,Branding YouTube Audience Growth,0.0,0,Public Dataset
Marketing,eBook Marketing Kit,Johnathan Leow,Course,Not specified,2.0 hours,Digital Marketing eBook Creation,5.0,3,Public Dataset
Personal Development,Verbal Self-Defense - Communication Skills,Bob Francis,Course,Not specified,1.0 hours,Self Esteem & Confidence Communication Skills,4.8,234,Public Dataset
Development,Node with React: Fullstack Web Development,Stephen Grider,Course,Not specified,25.5 hours,Web Development React,4.7,13348,Public Dataset
Design,Logo Design in Adobe Illustrator - for Beginners & Beyond,Daniel Evans,Course,Not specified,17.0 hours,Graphic Design & Illustration Logo Design,4.5,3646,Public Dataset
Development,Selenium WebDriver Training with Java & Many Live Frameworks,Rahul Arora,Course,Not specified,130.0 hours,Software Testing Selenium WebDriver,4.5,14740,Public Dataset
Photography & Video,"Filmmaking: Write, Direct and Distribute Your Feature Film",Paul Bright,Course,Not specified,7.0 hours,Video Design Filmmaking,4.5,674,Public Dataset
Personal Development,"Build Your Brand: Blogging, SEO, SocialMedia & Relationships",Rob Cubbon,Course,Not specified,2.5 hours,Personal Brand Building Personal Branding,4.3,80,Public Dataset
Marketing,How to create a YouTube Channel,Robert Hughes,Course,Not specified,0.5 hours,Video & Mobile Marketing YouTube Marketing,3.5,62,Public Dataset
Design,Safari Themed Fashion Collection Course,Start Now Fashion,Course,Not specified,17.0 hours,Fashion Design Unknown,4.7,2,Public Dataset
Lifestyle,"Dog Training Tricks: Trick Training, Dog Games & Dog Paw Art",Tatiana Ambrose,Course,Not specified,1.5 hours,Pet Care & Training Dog Training,4.8,64,Public Dataset
Lifestyle,Brow mapping - The Simple Guide,Charlie Corkill Boonzaaier,Course,Not specified,0.5333333333333333 hours,Beauty & Makeup Beauty,4.9,31,Public Dataset
Design,Mastering Colour; Architectural Design & Interior Decoration,Michael Dean,Course,Not specified,1.5 hours,Interior Design Unknown,3.6,218,Public Dataset
Finance & Accounting,Risk Reversal Options Trading Strategy Certification,Saad T. Hameed (STH),Course,Not specified,2.5 hours,Finance Cert & Exam Prep Options Trading,4.4,78,Public Dataset
Marketing,[2021] Growth Hacking with Digital Marketing (Version 7.3),Davis Jones,Course,Not specified,9.0 hours,Growth Hacking Digital Marketing,4.4,6290,Public Dataset
Finance & Accounting,Bookkeeping -Step by Step Mastery ***COMPLETE COURSE***,Jafar Iqbal,Course,Not specified,6.0 hours,Accounting & Bookkeeping Bookkeeping,4.4,682,Public Dataset
Marketing,Content Marketing,Steven Matt,Course,Not specified,0.5333333333333333 hours,Content Marketing Unknown,4.3,153,Public Dataset
Teaching & Academics,General Chinese（2）,优实中文 UseMandarin,Course,Not specified,12.5 hours,Language Learning Chinese Language,5.0,1,Public Dataset
Health & Fitness,"Ten Day, Ten Minute a Day Meditation Journey",Stacie Dooreck,Course,Not specified,3.5 hours,Meditation Unknown,4.0,1,Public Dataset
Marketing,Rank #1 In Google | Search Engine Optimisation MASTERCLASS,Sam Dey,Course,Not specified,1.5 hours,Search Engine Optimization SEO,4.7,3,Public Dataset
Health & Fitness,Flavor Masterclass: Start Cooking Mediterranean Food at Home,Jameela Al Jumaily,Course,Not specified,1.0 hours,Dieting Cooking,4.5,13,Public Dataset
Teaching & Academics,Montessori Teachers' Sensorial Exam for Learners & Teachers,Farhat Tazeen,Course,Not specified,0.0 hours,Teacher Training Montessori,5.0,1,Public Dataset
Office Productivity,IGCSE - ICT - Cambridge - OL - Paper 3 Tricks,Hossam Hussein,Course,Not specified,1.0 hours,Microsoft IGCSE,5.0,1,Public Dataset
Finance & Accounting,Certification in Point & Figure Chart & P&F Chart Patterns,Saad T. Hameed (STH),Course,Not specified,1.5 hours,Finance Cert & Exam Prep Chart Pattern Trading,4.7,64,Public Dataset
Music,Studio One 5.3 - the most complete and up-to-date tutorial,Alexander Reze,Course,Not specified,4.0 hours,Music Software Presonus,4.5,36,Public Dataset
Data Science,Tableau for Data Science: Real-Life Data Analytics Exercises & Quizzes,"Kirill Eremenko, SuperDataScience Team, Ligency",Course,All Levels,8.5 hours,"Tableau, Data Visualization, Data Analytics",4.7,107268,Curated
Personal Development,How to Create Silent Subliminal Recordings,Peter Gagliardo,Course,Not specified,0.5 hours,Influence Audio Editing,4.6,8,Public Dataset
Business,How to file online income tax return,A. Sukumar,Course,Not specified,0.5833333333333334 hours,Business Law Tax Preparation,3.5,154,Public Dataset
Health & Fitness,Holistic Medicine Foundation,Eric Yeboah,Course,Not specified,2.5 hours,General Health Holistic Medicine,5.0,3,Public Dataset
Design,Updates to LEED version 4,EDS Global,Course,Not specified,0.7333333333333333 hours,Architectural Design Sustainable Architecture,4.6,27,Public Dataset
Personal Development,Comprehensive Guide to Contract Law and Consumer Protection,Alpha Academy,Course,Not specified,3.5 hours,Personal Productivity Contract Law,0.0,0,Public Dataset
